type,time,latitude,longitude,alt,name,color,width
T,22:05:33,39.941078,-75.198827,0.000,GPS,cyan,2
T,22:05:34,39.941083,-75.198843,0.000,GPS,cyan,2
T,22:05:34,39.941087,-75.198859,0.000,GPS,cyan,2
T,22:05:35,39.941091,-75.198876,0.000,GPS,cyan,2
T,22:05:35,39.941090,-75.198893,0.000,GPS,cyan,2
T,22:05:35,39.941092,-75.198911,0.000,GPS,cyan,2
T,22:05:36,39.941096,-75.198931,0.000,GPS,cyan,2
T,22:05:36,39.941101,-75.198950,0.000,GPS,cyan,2
T,22:05:37,39.941106,-75.198968,0.000,GPS,cyan,2
T,22:05:37,39.941111,-75.198987,0.000,GPS,cyan,2
T,22:05:37,39.941117,-75.199006,0.000,GPS,cyan,2
T,22:05:38,39.941123,-75.199024,0.000,GPS,cyan,2
T,22:05:38,39.941129,-75.199043,0.000,GPS,cyan,2
T,22:05:39,39.941136,-75.199061,0.000,GPS,cyan,2
T,22:05:39,39.941143,-75.199080,0.000,GPS,cyan,2
T,22:05:39,39.941148,-75.199100,0.000,GPS,cyan,2
T,22:05:40,39.941154,-75.199119,0.000,GPS,cyan,2
T,22:05:40,39.941159,-75.199138,0.000,GPS,cyan,2
T,22:05:41,39.941163,-75.199157,0.000,GPS,cyan,2
T,22:05:41,39.941166,-75.199177,0.000,GPS,cyan,2
T,22:05:41,39.941167,-75.199195,0.000,GPS,cyan,2
T,22:05:42,39.941167,-75.199214,0.000,GPS,cyan,2
T,22:05:42,39.941163,-75.199232,0.000,GPS,cyan,2
T,22:05:43,39.941157,-75.199249,0.000,GPS,cyan,2
T,22:05:43,39.941148,-75.199264,0.000,GPS,cyan,2
T,22:05:43,39.941136,-75.199277,0.000,GPS,cyan,2
T,22:05:44,39.941122,-75.199286,0.000,GPS,cyan,2
T,22:05:44,39.941107,-75.199295,0.000,GPS,cyan,2
T,22:05:45,39.941091,-75.199302,0.000,GPS,cyan,2
T,22:05:45,39.941074,-75.199309,0.000,GPS,cyan,2
T,22:05:45,39.941056,-75.199315,0.000,GPS,cyan,2
T,22:05:46,39.941038,-75.199322,0.000,GPS,cyan,2
T,22:05:46,39.941019,-75.199328,0.000,GPS,cyan,2
T,22:05:47,39.941000,-75.199335,0.000,GPS,cyan,2
T,22:05:47,39.940981,-75.199341,0.000,GPS,cyan,2
T,22:05:47,39.940960,-75.199348,0.000,GPS,cyan,2
T,22:05:48,39.940939,-75.199355,0.000,GPS,cyan,2
T,22:05:48,39.940919,-75.199361,0.000,GPS,cyan,2
T,22:05:49,39.940898,-75.199368,0.000,GPS,cyan,2
T,22:05:49,39.940858,-75.199380,0.000,GPS,cyan,2
T,22:05:50,39.940837,-75.199386,0.000,GPS,cyan,2
T,22:05:50,39.940816,-75.199392,0.000,GPS,cyan,2
T,22:05:51,39.940796,-75.199398,0.000,GPS,cyan,2
T,22:05:51,39.940776,-75.199404,0.000,GPS,cyan,2
T,22:05:51,39.940755,-75.199411,0.000,GPS,cyan,2
T,22:05:52,39.940736,-75.199417,0.000,GPS,cyan,2
T,22:05:52,39.940717,-75.199422,0.000,GPS,cyan,2
T,22:05:53,39.940697,-75.199429,0.000,GPS,cyan,2
T,22:05:53,39.940677,-75.199436,0.000,GPS,cyan,2
T,22:05:53,39.940659,-75.199444,0.000,GPS,cyan,2
T,22:05:54,39.940641,-75.199453,0.000,GPS,cyan,2
T,22:05:54,39.940625,-75.199465,0.000,GPS,cyan,2
T,22:05:55,39.940611,-75.199479,0.000,GPS,cyan,2
T,22:05:55,39.940600,-75.199494,0.000,GPS,cyan,2
T,22:05:55,39.940594,-75.199511,0.000,GPS,cyan,2
T,22:05:56,39.940590,-75.199531,0.000,GPS,cyan,2
T,22:05:56,39.940588,-75.199551,0.000,GPS,cyan,2
T,22:05:57,39.940587,-75.199570,0.000,GPS,cyan,2
T,22:05:57,39.940588,-75.199586,0.000,GPS,cyan,2
T,22:05:57,39.940591,-75.199602,0.000,GPS,cyan,2
T,22:05:58,39.940595,-75.199621,0.000,GPS,cyan,2
T,22:05:58,39.940600,-75.199643,0.000,GPS,cyan,2
T,22:05:59,39.940607,-75.199664,0.000,GPS,cyan,2
T,22:05:59,39.940613,-75.199684,0.000,GPS,cyan,2
T,22:05:59,39.940619,-75.199702,0.000,GPS,cyan,2
T,22:06:00,39.940625,-75.199719,0.000,GPS,cyan,2
T,22:06:00,39.940630,-75.199740,0.000,GPS,cyan,2
T,22:06:01,39.940636,-75.199760,0.000,GPS,cyan,2
T,22:06:01,39.940645,-75.199780,0.000,GPS,cyan,2
T,22:06:01,39.940659,-75.199798,0.000,GPS,cyan,2
T,22:06:02,39.940675,-75.199813,0.000,GPS,cyan,2
T,22:06:03,39.940706,-75.199832,0.000,GPS,cyan,2
T,22:06:03,39.940742,-75.199839,0.000,GPS,cyan,2
T,22:06:04,39.940760,-75.199837,0.000,GPS,cyan,2
T,22:06:04,39.940778,-75.199835,0.000,GPS,cyan,2
T,22:06:05,39.940796,-75.199833,0.000,GPS,cyan,2
T,22:06:05,39.940814,-75.199830,0.000,GPS,cyan,2
T,22:06:05,39.940833,-75.199825,0.000,GPS,cyan,2
T,22:06:06,39.940851,-75.199820,0.000,GPS,cyan,2
T,22:06:06,39.940869,-75.199815,0.000,GPS,cyan,2
T,22:06:07,39.940887,-75.199809,0.000,GPS,cyan,2
T,22:06:07,39.940905,-75.199803,0.000,GPS,cyan,2
T,22:06:08,39.940957,-75.199788,0.000,GPS,cyan,2
T,22:06:09,39.940974,-75.199783,0.000,GPS,cyan,2
T,22:06:09,39.940992,-75.199776,0.000,GPS,cyan,2
T,22:06:09,39.941008,-75.199768,0.000,GPS,cyan,2
T,22:06:10,39.941022,-75.199758,0.000,GPS,cyan,2
T,22:06:10,39.941034,-75.199745,0.000,GPS,cyan,2
T,22:06:11,39.941043,-75.199729,0.000,GPS,cyan,2
T,22:06:11,39.941051,-75.199711,0.000,GPS,cyan,2
T,22:06:11,39.941057,-75.199691,0.000,GPS,cyan,2
T,22:06:12,39.941059,-75.199672,0.000,GPS,cyan,2
T,22:06:12,39.941060,-75.199652,0.000,GPS,cyan,2
T,22:06:13,39.941057,-75.199631,0.000,GPS,cyan,2
T,22:06:13,39.941052,-75.199610,0.000,GPS,cyan,2
T,22:06:14,39.941042,-75.199571,0.000,GPS,cyan,2
T,22:06:14,39.941035,-75.199552,0.000,GPS,cyan,2
T,22:06:15,39.941028,-75.199533,0.000,GPS,cyan,2
T,22:06:15,39.941022,-75.199513,0.000,GPS,cyan,2
T,22:06:15,39.941015,-75.199493,0.000,GPS,cyan,2
T,22:06:16,39.941009,-75.199472,0.000,GPS,cyan,2
T,22:06:16,39.941003,-75.199451,0.000,GPS,cyan,2
T,22:06:17,39.940997,-75.199432,0.000,GPS,cyan,2
T,22:06:17,39.940992,-75.199413,0.000,GPS,cyan,2
T,22:06:17,39.940987,-75.199395,0.000,GPS,cyan,2
T,22:06:18,39.940983,-75.199377,0.000,GPS,cyan,2
T,22:06:19,39.940976,-75.199343,0.000,GPS,cyan,2
T,22:06:19,39.940973,-75.199325,0.000,GPS,cyan,2
T,22:06:19,39.940973,-75.199306,0.000,GPS,cyan,2
T,22:06:20,39.940975,-75.199287,0.000,GPS,cyan,2
T,22:06:20,39.940978,-75.199267,0.000,GPS,cyan,2
T,22:06:21,39.940984,-75.199248,0.000,GPS,cyan,2
T,22:06:21,39.940992,-75.199229,0.000,GPS,cyan,2
T,22:06:21,39.941003,-75.199210,0.000,GPS,cyan,2
T,22:06:22,39.941017,-75.199195,0.000,GPS,cyan,2
T,22:06:22,39.941034,-75.199184,0.000,GPS,cyan,2
T,22:06:23,39.941053,-75.199176,0.000,GPS,cyan,2
T,22:06:23,39.941073,-75.199171,0.000,GPS,cyan,2
T,22:06:23,39.941094,-75.199165,0.000,GPS,cyan,2
T,22:06:24,39.941115,-75.199160,0.000,GPS,cyan,2
T,22:06:25,39.941159,-75.199149,0.000,GPS,cyan,2
T,22:06:25,39.941182,-75.199143,0.000,GPS,cyan,2
T,22:06:25,39.941207,-75.199138,0.000,GPS,cyan,2
T,22:06:26,39.941232,-75.199131,0.000,GPS,cyan,2
T,22:06:26,39.941257,-75.199124,0.000,GPS,cyan,2
T,22:06:27,39.941282,-75.199117,0.000,GPS,cyan,2
T,22:06:27,39.941308,-75.199109,0.000,GPS,cyan,2
T,22:06:27,39.941333,-75.199102,0.000,GPS,cyan,2
T,22:06:28,39.941357,-75.199094,0.000,GPS,cyan,2
T,22:06:28,39.941383,-75.199087,0.000,GPS,cyan,2
T,22:06:29,39.941409,-75.199079,0.000,GPS,cyan,2
T,22:06:29,39.941434,-75.199071,0.000,GPS,cyan,2
T,22:06:29,39.941460,-75.199062,0.000,GPS,cyan,2
T,22:06:30,39.941486,-75.199053,0.000,GPS,cyan,2
T,22:06:30,39.941513,-75.199044,0.000,GPS,cyan,2
T,22:06:31,39.941539,-75.199034,0.000,GPS,cyan,2
T,22:06:31,39.941564,-75.199024,0.000,GPS,cyan,2
T,22:06:31,39.941591,-75.199013,0.000,GPS,cyan,2
T,22:06:32,39.941619,-75.199002,0.000,GPS,cyan,2
T,22:06:32,39.941645,-75.198991,0.000,GPS,cyan,2
T,22:06:33,39.941672,-75.198981,0.000,GPS,cyan,2
T,22:06:33,39.941699,-75.198970,0.000,GPS,cyan,2
T,22:06:33,39.941726,-75.198961,0.000,GPS,cyan,2
T,22:06:34,39.941753,-75.198950,0.000,GPS,cyan,2
T,22:06:34,39.941779,-75.198940,0.000,GPS,cyan,2
T,22:06:35,39.941805,-75.198930,0.000,GPS,cyan,2
T,22:06:35,39.941831,-75.198920,0.000,GPS,cyan,2
T,22:06:35,39.941857,-75.198910,0.000,GPS,cyan,2
T,22:06:36,39.941882,-75.198901,0.000,GPS,cyan,2
T,22:06:36,39.941908,-75.198892,0.000,GPS,cyan,2
T,22:06:37,39.941933,-75.198885,0.000,GPS,cyan,2
T,22:06:37,39.941958,-75.198879,0.000,GPS,cyan,2
T,22:06:37,39.941981,-75.198876,0.000,GPS,cyan,2
T,22:06:38,39.942004,-75.198874,0.000,GPS,cyan,2
T,22:06:38,39.942025,-75.198872,0.000,GPS,cyan,2
T,22:06:39,39.942045,-75.198873,0.000,GPS,cyan,2
T,22:06:39,39.942062,-75.198876,0.000,GPS,cyan,2
T,22:06:39,39.942076,-75.198878,0.000,GPS,cyan,2
T,22:06:40,39.942088,-75.198882,0.000,GPS,cyan,2
T,22:06:40,39.942101,-75.198886,0.000,GPS,cyan,2
T,22:06:41,39.942112,-75.198891,0.000,GPS,cyan,2
T,22:06:41,39.942123,-75.198895,0.000,GPS,cyan,2
T,22:06:41,39.942133,-75.198900,0.000,GPS,cyan,2
T,22:06:42,39.942143,-75.198905,0.000,GPS,cyan,2
T,22:06:42,39.942153,-75.198912,0.000,GPS,cyan,2
T,22:06:43,39.942164,-75.198919,0.000,GPS,cyan,2
T,22:06:43,39.942174,-75.198926,0.000,GPS,cyan,2
T,22:06:44,39.942195,-75.198944,0.000,GPS,cyan,2
T,22:06:44,39.942204,-75.198954,0.000,GPS,cyan,2
T,22:06:45,39.942214,-75.198965,0.000,GPS,cyan,2
T,22:06:45,39.942225,-75.198976,0.000,GPS,cyan,2
T,22:06:45,39.942235,-75.198990,0.000,GPS,cyan,2
T,22:06:46,39.942247,-75.199003,0.000,GPS,cyan,2
T,22:06:46,39.942258,-75.199019,0.000,GPS,cyan,2
T,22:06:47,39.942269,-75.199035,0.000,GPS,cyan,2
T,22:06:47,39.942279,-75.199053,0.000,GPS,cyan,2
T,22:06:47,39.942288,-75.199072,0.000,GPS,cyan,2
T,22:06:48,39.942298,-75.199091,0.000,GPS,cyan,2
T,22:06:48,39.942309,-75.199111,0.000,GPS,cyan,2
T,22:06:49,39.942319,-75.199131,0.000,GPS,cyan,2
T,22:06:49,39.942328,-75.199149,0.000,GPS,cyan,2
T,22:06:49,39.942336,-75.199167,0.000,GPS,cyan,2
T,22:06:50,39.942345,-75.199181,0.000,GPS,cyan,2
T,22:06:50,39.942354,-75.199194,0.000,GPS,cyan,2
T,22:06:51,39.942359,-75.199205,0.000,GPS,cyan,2
T,22:06:51,39.942363,-75.199214,0.000,GPS,cyan,2
T,22:06:51,39.942367,-75.199221,0.000,GPS,cyan,2
T,22:06:52,39.942373,-75.199229,0.000,GPS,cyan,2
T,22:06:52,39.942376,-75.199236,0.000,GPS,cyan,2
T,22:06:53,39.942381,-75.199243,0.000,GPS,cyan,2
T,22:06:53,39.942385,-75.199252,0.000,GPS,cyan,2
T,22:06:53,39.942389,-75.199259,0.000,GPS,cyan,2
T,22:06:54,39.942398,-75.199274,0.000,GPS,cyan,2
T,22:06:55,39.942404,-75.199283,0.000,GPS,cyan,2
T,22:06:55,39.942411,-75.199295,0.000,GPS,cyan,2
T,22:06:55,39.942416,-75.199307,0.000,GPS,cyan,2
T,22:06:56,39.942425,-75.199322,0.000,GPS,cyan,2
T,22:06:56,39.942434,-75.199338,0.000,GPS,cyan,2
T,22:06:57,39.942444,-75.199355,0.000,GPS,cyan,2
T,22:06:57,39.942453,-75.199374,0.000,GPS,cyan,2
T,22:06:57,39.942463,-75.199392,0.000,GPS,cyan,2
T,22:06:58,39.942474,-75.199410,0.000,GPS,cyan,2
T,22:06:58,39.942485,-75.199429,0.000,GPS,cyan,2
T,22:06:59,39.942494,-75.199447,0.000,GPS,cyan,2
T,22:06:59,39.942504,-75.199464,0.000,GPS,cyan,2
T,22:06:59,39.942514,-75.199482,0.000,GPS,cyan,2
T,22:07:00,39.942524,-75.199498,0.000,GPS,cyan,2
T,22:07:00,39.942535,-75.199514,0.000,GPS,cyan,2
T,22:07:01,39.942545,-75.199527,0.000,GPS,cyan,2
T,22:07:01,39.942554,-75.199540,0.000,GPS,cyan,2
T,22:07:01,39.942561,-75.199553,0.000,GPS,cyan,2
T,22:07:02,39.942569,-75.199566,0.000,GPS,cyan,2
T,22:07:02,39.942574,-75.199577,0.000,GPS,cyan,2
T,22:07:03,39.942580,-75.199588,0.000,GPS,cyan,2
T,22:07:03,39.942585,-75.199599,0.000,GPS,cyan,2
T,22:07:03,39.942590,-75.199611,0.000,GPS,cyan,2
T,22:07:04,39.942595,-75.199622,0.000,GPS,cyan,2
T,22:07:04,39.942600,-75.199634,0.000,GPS,cyan,2
T,22:07:05,39.942606,-75.199648,0.000,GPS,cyan,2
T,22:07:05,39.942615,-75.199664,0.000,GPS,cyan,2
T,22:07:05,39.942623,-75.199681,0.000,GPS,cyan,2
T,22:07:06,39.942632,-75.199700,0.000,GPS,cyan,2
T,22:07:06,39.942640,-75.199721,0.000,GPS,cyan,2
T,22:07:07,39.942648,-75.199743,0.000,GPS,cyan,2
T,22:07:07,39.942655,-75.199765,0.000,GPS,cyan,2
T,22:07:07,39.942661,-75.199788,0.000,GPS,cyan,2
T,22:07:08,39.942666,-75.199813,0.000,GPS,cyan,2
T,22:07:08,39.942669,-75.199838,0.000,GPS,cyan,2
T,22:07:09,39.942672,-75.199862,0.000,GPS,cyan,2
T,22:07:09,39.942674,-75.199887,0.000,GPS,cyan,2
T,22:07:09,39.942673,-75.199912,0.000,GPS,cyan,2
T,22:07:10,39.942671,-75.199938,0.000,GPS,cyan,2
T,22:07:10,39.942670,-75.199964,0.000,GPS,cyan,2
T,22:07:11,39.942669,-75.199991,0.000,GPS,cyan,2
T,22:07:11,39.942669,-75.200018,0.000,GPS,cyan,2
T,22:07:11,39.942670,-75.200046,0.000,GPS,cyan,2
T,22:07:12,39.942678,-75.200102,0.000,GPS,cyan,2
T,22:07:13,39.942683,-75.200128,0.000,GPS,cyan,2
T,22:07:13,39.942689,-75.200152,0.000,GPS,cyan,2
T,22:07:13,39.942693,-75.200176,0.000,GPS,cyan,2
T,22:07:14,39.942700,-75.200203,0.000,GPS,cyan,2
T,22:07:14,39.942709,-75.200229,0.000,GPS,cyan,2
T,22:07:15,39.942716,-75.200255,0.000,GPS,cyan,2
T,22:07:15,39.942723,-75.200280,0.000,GPS,cyan,2
T,22:07:15,39.942729,-75.200306,0.000,GPS,cyan,2
T,22:07:16,39.942741,-75.200357,0.000,GPS,cyan,2
T,22:07:17,39.942746,-75.200383,0.000,GPS,cyan,2
T,22:07:17,39.942755,-75.200436,0.000,GPS,cyan,2
T,22:07:18,39.942760,-75.200463,0.000,GPS,cyan,2
T,22:07:18,39.942764,-75.200488,0.000,GPS,cyan,2
T,22:07:19,39.942771,-75.200514,0.000,GPS,cyan,2
T,22:07:19,39.942777,-75.200540,0.000,GPS,cyan,2
T,22:07:19,39.942782,-75.200567,0.000,GPS,cyan,2
T,22:07:20,39.942788,-75.200595,0.000,GPS,cyan,2
T,22:07:20,39.942794,-75.200622,0.000,GPS,cyan,2
T,22:07:21,39.942807,-75.200675,0.000,GPS,cyan,2
T,22:07:22,39.942822,-75.200729,0.000,GPS,cyan,2
T,22:07:22,39.942829,-75.200755,0.000,GPS,cyan,2
T,22:07:23,39.942836,-75.200781,0.000,GPS,cyan,2
T,22:07:23,39.942841,-75.200808,0.000,GPS,cyan,2
T,22:07:23,39.942848,-75.200834,0.000,GPS,cyan,2
T,22:07:24,39.942855,-75.200859,0.000,GPS,cyan,2
T,22:07:25,39.942866,-75.200913,0.000,GPS,cyan,2
T,22:07:25,39.942871,-75.200939,0.000,GPS,cyan,2
T,22:07:25,39.942876,-75.200965,0.000,GPS,cyan,2
T,22:07:26,39.942880,-75.200991,0.000,GPS,cyan,2
T,22:07:26,39.942885,-75.201017,0.000,GPS,cyan,2
T,22:07:27,39.942890,-75.201044,0.000,GPS,cyan,2
T,22:07:27,39.942896,-75.201071,0.000,GPS,cyan,2
T,22:07:27,39.942902,-75.201096,0.000,GPS,cyan,2
T,22:07:28,39.942906,-75.201120,0.000,GPS,cyan,2
T,22:07:28,39.942911,-75.201144,0.000,GPS,cyan,2
T,22:07:29,39.942916,-75.201167,0.000,GPS,cyan,2
T,22:07:29,39.942921,-75.201191,0.000,GPS,cyan,2
T,22:07:29,39.942924,-75.201213,0.000,GPS,cyan,2
T,22:07:30,39.942926,-75.201234,0.000,GPS,cyan,2
T,22:07:30,39.942928,-75.201255,0.000,GPS,cyan,2
T,22:07:31,39.942929,-75.201277,0.000,GPS,cyan,2
T,22:07:31,39.942929,-75.201319,0.000,GPS,cyan,2
T,22:07:32,39.942929,-75.201339,0.000,GPS,cyan,2
T,22:07:33,39.942926,-75.201376,0.000,GPS,cyan,2
T,22:07:33,39.942925,-75.201415,0.000,GPS,cyan,2
T,22:07:34,39.942924,-75.201434,0.000,GPS,cyan,2
T,22:07:34,39.942924,-75.201452,0.000,GPS,cyan,2
T,22:07:35,39.942922,-75.201469,0.000,GPS,cyan,2
T,22:07:35,39.942920,-75.201486,0.000,GPS,cyan,2
T,22:07:35,39.942917,-75.201504,0.000,GPS,cyan,2
T,22:07:36,39.942913,-75.201522,0.000,GPS,cyan,2
T,22:07:36,39.942909,-75.201539,0.000,GPS,cyan,2
T,22:07:37,39.942906,-75.201555,0.000,GPS,cyan,2
T,22:07:37,39.942903,-75.201571,0.000,GPS,cyan,2
T,22:07:37,39.942901,-75.201587,0.000,GPS,cyan,2
T,22:07:38,39.942897,-75.201603,0.000,GPS,cyan,2
T,22:07:38,39.942894,-75.201617,0.000,GPS,cyan,2
T,22:07:39,39.942890,-75.201630,0.000,GPS,cyan,2
T,22:07:39,39.942887,-75.201637,0.000,GPS,cyan,2
T,22:07:39,39.942884,-75.201644,0.000,GPS,cyan,2
T,22:07:40,39.942880,-75.201650,0.000,GPS,cyan,2
T,22:07:40,39.942874,-75.201657,0.000,GPS,cyan,2
T,22:07:41,39.942866,-75.201662,0.000,GPS,cyan,2
T,22:07:41,39.942856,-75.201666,0.000,GPS,cyan,2
T,22:07:41,39.942846,-75.201669,0.000,GPS,cyan,2
T,22:07:43,39.942818,-75.201671,0.000,GPS,cyan,2
T,22:07:43,39.942808,-75.201672,0.000,GPS,cyan,2
T,22:07:43,39.942798,-75.201673,0.000,GPS,cyan,2
T,22:07:44,39.942789,-75.201675,0.000,GPS,cyan,2
T,22:07:44,39.942781,-75.201677,0.000,GPS,cyan,2
T,22:07:45,39.942771,-75.201680,0.000,GPS,cyan,2
T,22:07:45,39.942748,-75.201688,0.000,GPS,cyan,2
T,22:07:46,39.942735,-75.201692,0.000,GPS,cyan,2
T,22:07:46,39.942724,-75.201696,0.000,GPS,cyan,2
T,22:07:47,39.942714,-75.201698,0.000,GPS,cyan,2
T,22:07:47,39.942704,-75.201699,0.000,GPS,cyan,2
T,22:07:47,39.942695,-75.201698,0.000,GPS,cyan,2
T,22:07:48,39.942687,-75.201695,0.000,GPS,cyan,2
T,22:07:48,39.942680,-75.201690,0.000,GPS,cyan,2
T,22:07:49,39.942674,-75.201684,0.000,GPS,cyan,2
T,22:07:49,39.942669,-75.201676,0.000,GPS,cyan,2
T,22:07:49,39.942665,-75.201666,0.000,GPS,cyan,2
T,22:07:50,39.942661,-75.201656,0.000,GPS,cyan,2
T,22:07:50,39.942659,-75.201645,0.000,GPS,cyan,2
T,22:07:51,39.942658,-75.201634,0.000,GPS,cyan,2
T,22:07:51,39.942656,-75.201622,0.000,GPS,cyan,2
T,22:07:51,39.942654,-75.201608,0.000,GPS,cyan,2
T,22:07:52,39.942652,-75.201592,0.000,GPS,cyan,2
T,22:07:52,39.942649,-75.201576,0.000,GPS,cyan,2
T,22:07:53,39.942647,-75.201560,0.000,GPS,cyan,2
T,22:07:53,39.942644,-75.201541,0.000,GPS,cyan,2
T,22:07:53,39.942640,-75.201522,0.000,GPS,cyan,2
T,22:07:54,39.942636,-75.201503,0.000,GPS,cyan,2
T,22:07:54,39.942631,-75.201484,0.000,GPS,cyan,2
T,22:07:55,39.942626,-75.201465,0.000,GPS,cyan,2
T,22:07:55,39.942620,-75.201446,0.000,GPS,cyan,2
T,22:07:55,39.942614,-75.201426,0.000,GPS,cyan,2
T,22:07:56,39.942606,-75.201406,0.000,GPS,cyan,2
T,22:07:56,39.942599,-75.201385,0.000,GPS,cyan,2
T,22:07:57,39.942591,-75.201362,0.000,GPS,cyan,2
T,22:07:57,39.942583,-75.201339,0.000,GPS,cyan,2
T,22:07:58,39.942568,-75.201292,0.000,GPS,cyan,2
T,22:07:58,39.942560,-75.201269,0.000,GPS,cyan,2
T,22:07:59,39.942552,-75.201245,0.000,GPS,cyan,2
T,22:07:59,39.942545,-75.201221,0.000,GPS,cyan,2
T,22:07:59,39.942538,-75.201197,0.000,GPS,cyan,2
T,22:08:00,39.942532,-75.201173,0.000,GPS,cyan,2
T,22:08:00,39.942525,-75.201148,0.000,GPS,cyan,2
T,22:08:01,39.942519,-75.201125,0.000,GPS,cyan,2
